# redshift, dNdz, bias
3.569999999999999840e-01 2.614956374141789183e+03 1.500000000000000000e+00
3.579999999999999849e-01 2.621908207919314464e+03 1.500000000000000000e+00
3.589999999999999858e-01 2.628837499567875057e+03 1.500000000000000000e+00
3.599999999999999867e-01 2.635744201787560087e+03 1.500000000000000000e+00
3.609999999999999876e-01 2.642628268101770573e+03 1.500000000000000000e+00
3.619999999999999885e-01 2.649489652851760184e+03 1.500000000000000000e+00
3.629999999999999893e-01 2.656328311191205103e+03 1.500000000000000000e+00
3.639999999999999902e-01 2.663144199080808448e+03 1.500000000000000000e+00
3.649999999999999911e-01 2.669937273282918341e+03 1.500000000000000000e+00
3.659999999999999920e-01 2.676707491356188712e+03 1.500000000000000000e+00
3.669999999999999929e-01 2.683454811650257398e+03 1.500000000000000000e+00
3.679999999999999938e-01 2.690179193300456063e+03 1.500000000000000000e+00
3.689999999999999947e-01 2.696880596222545591e+03 1.500000000000000000e+00
3.699999999999999956e-01 2.703558981107480577e+03 1.500000000000000000e+00
3.709999999999999964e-01 2.710214309416197011e+03 1.500000000000000000e+00
3.719999999999999973e-01 2.716846543374431803e+03 1.500000000000000000e+00
3.729999999999999982e-01 2.723455645967566852e+03 1.500000000000000000e+00
3.739999999999999991e-01 2.730041580935495404e+03 1.500000000000000000e+00
3.750000000000000000e-01 2.736604312767522515e+03 1.500000000000000000e+00
3.760000000000000009e-01 2.743143806697288255e+03 1.500000000000000000e+00
3.770000000000000018e-01 2.749660028697715006e+03 1.500000000000000000e+00
3.780000000000000027e-01 2.756152945475983870e+03 1.500000000000000000e+00
3.790000000000000036e-01 2.762622524468537449e+03 1.500000000000000000e+00
3.800000000000000044e-01 2.769068733836104911e+03 1.500000000000000000e+00
3.810000000000000053e-01 2.775491542458759341e+03 1.500000000000000000e+00
3.820000000000000062e-01 2.781890919930991458e+03 1.500000000000000000e+00
3.830000000000000071e-01 2.788266836556817907e+03 1.500000000000000000e+00
3.840000000000000080e-01 2.794619263344909996e+03 1.500000000000000000e+00
3.850000000000000089e-01 2.800948172003747459e+03 1.500000000000000000e+00
